customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST_000001,Male,0,Yes,Yes,7,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),44.14,337.15,No
CUST_000002,Female,0,Yes,Yes,71,No,No phone service,Fiber optic,No,No,No,No,No,Yes,Two year,No,Credit card (automatic),74.41,5322.82,No
CUST_000003,Male,1,No,No,35,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),42.56,1460.1,No
CUST_000004,Male,0,Yes,Yes,63,Yes,No,Fiber optic,No,No,Yes,No,No,No,One year,Yes,Electronic check,90.76,5766.48,No
CUST_000005,Male,1,No,No,72,No,No phone service,DSL,No,Yes,No,No,No,Yes,Two year,Yes,Electronic check,63.77,4585.72,No
CUST_000006,Female,0,Yes,No,4,Yes,No,DSL,No,Yes,Yes,No,No,No,Month-to-month,Yes,Electronic check,79.31,351.57,No
CUST_000007,Male,1,Yes,No,3,Yes,No,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,No,Mailed check,120.0,340.46,No
CUST_000008,Male,0,No,No,52,Yes,No,DSL,No,No,No,No,No,No,One year,No,Electronic check,69.23,3615.01,No
CUST_000009,Male,1,No,Yes,64,Yes,Yes,DSL,No,No,Yes,No,No,Yes,Two year,Yes,Bank transfer (automatic),87.5,5556.26,No
CUST_000010,Female,0,Yes,No,28,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,No,Yes,Two year,Yes,Electronic check,117.89,3346.77,No
CUST_000011,Male,0,Yes,Yes,14,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,40.87,533.88,Yes
CUST_000012,Male,0,No,No,33,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,Yes,Month-to-month,No,Electronic check,118.01,3913.34,Yes
CUST_000013,Male,1,Yes,Yes,11,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),45.85,454.97,No
CUST_000014,Male,0,Yes,No,8,Yes,No,DSL,Yes,Yes,Yes,No,Yes,No,Two year,Yes,Mailed check,88.21,707.07,No
CUST_000015,Female,1,No,No,21,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,No,Credit card (automatic),68.25,1415.53,No
CUST_000016,Male,1,No,No,7,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,No,No,Month-to-month,No,Electronic check,113.69,769.07,Yes
CUST_000017,Female,0,No,No,21,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),52.45,1122.84,Yes
CUST_000018,Female,0,No,No,72,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),106.51,7663.04,Yes
CUST_000019,Female,0,No,No,58,Yes,No,DSL,No,Yes,Yes,No,No,Yes,Month-to-month,No,Electronic check,81.86,4729.64,No
